episodes,steps,total reward
117,10000,9.0
202,20000,28.0
291,30000,29.0
400,40000,40.0
670,50000,207.0
1048,60000,310.0
1452,70000,325.0
1854,80000,323.0
2276,90000,341.0
2705,100000,347.0
