# {"t_start": 1662807459.767652, "env_id": "Office-single-v1"} 
r,l,t
0.0,24,0.00096
0.0,11,0.001252
0.0,84,0.003124
0.0,43,0.004074
0.0,8,0.004288
0.0,23,0.004947
0.0,20,0.00544
0.0,20,0.005916
0.0,70,0.007775
0.0,23,0.008338
0.0,15,0.008705
0.0,73,0.010316
0.0,105,0.012556
0.0,22,0.013141
0.0,30,0.013825
0.0,12,0.01413
0.0,100,0.016271
0.0,16,0.016648
0.0,37,0.017458
0.0,27,0.018067
0.0,95,0.020083
0.0,106,0.022452
0.0,2,0.022539
0.0,25,0.023169
0.0,104,0.0262
0.0,12,0.026528
0.0,11,0.026797
0.0,56,0.027976
0.0,25,0.028535
0.0,23,0.029044
0.0,42,0.029939
0.0,89,0.031967
0.0,141,0.035266
0.0,24,0.035887
0.0,4,0.036025
0.0,9,0.03626
0.0,35,0.037037
0.0,11,0.037309
0.0,8,0.037519
0.0,89,0.039671
0.0,19,0.040143
0.0,62,0.041699
0.0,102,0.043949
0.0,116,0.046464
0.0,23,0.047003
0.0,32,0.047719
0.0,67,0.049233
0.0,116,0.051749
0.0,36,0.052538
0.0,6,0.052702
0.0,60,0.054001
0.0,91,0.056435
0.0,86,0.059543
0.0,54,0.061536
0.0,249,0.071732
0.0,218,0.078251
0.0,32,0.079007
0.0,122,0.081613
0.0,166,0.08506
0.0,142,0.088132
0.0,53,0.089477
0.0,124,0.093352
0.0,32,0.094108
0.0,25,0.094685
0.0,147,0.097783
0.0,76,0.099503
0.0,127,0.102199
0.0,11,0.102478
0.0,87,0.104367
0.0,159,0.108096
0.0,96,0.110189
0.0,152,0.113509
0.0,225,0.118268
0.0,81,0.120021
0.0,149,0.123581
0.0,151,0.127348
1.0,124,0.130067
0.0,56,0.131355
0.0,234,0.136302
0.0,160,0.140445
0.0,188,0.144519
0.0,20,0.144992
0.0,50,0.146105
0.0,18,0.146579
0.0,203,0.1509
0.0,39,0.15177
0.0,56,0.152989
0.0,27,0.15359
0.0,132,0.15651
0.0,25,0.157665
0.0,34,0.158981
1.0,165,0.162582
0.0,224,0.167542
0.0,258,0.173358
0.0,82,0.175257
0.0,13,0.175602
0.0,47,0.176638
0.0,114,0.179061
1.0,169,0.182814
0.0,303,0.189308
0.0,66,0.191507
0.0,172,0.195563
0.0,44,0.196563
0.0,26,0.197162
0.0,84,0.199015
0.0,36,0.199809
0.0,65,0.201224
0.0,17,0.201632
1.0,102,0.203873
0.0,89,0.206005
1.0,222,0.210943
1.0,279,0.216981
0.0,313,0.224108
0.0,91,0.226688
0.0,14,0.227059
1.0,232,0.233699
0.0,20,0.234922
0.0,144,0.238432
0.0,186,0.243715
0.0,173,0.247861
0.0,187,0.251833
0.0,135,0.254969
1.0,91,0.257642
0.0,98,0.259793
0.0,20,0.260259
0.0,46,0.261235
0.0,122,0.263781
0.0,61,0.265266
0.0,55,0.266432
1.0,165,0.26988
1.0,229,0.275102
0.0,79,0.276982
0.0,14,0.277375
0.0,32,0.278148
1.0,152,0.281518
0.0,140,0.284553
0.0,2,0.284642
0.0,161,0.2882
0.0,113,0.291097
0.0,71,0.292842
1.0,177,0.297169
0.0,20,0.297754
0.0,16,0.298235
1.0,294,0.305278
1.0,216,0.30999
1.0,130,0.312677
0.0,298,0.318791
1.0,206,0.323271
0.0,43,0.32527
0.0,87,0.32825
0.0,86,0.330058
0.0,38,0.330917
0.0,7,0.331104
0.0,72,0.332607
0.0,48,0.333635
0.0,58,0.33491
0.0,19,0.33536
1.0,233,0.340432
1.0,206,0.344966
0.0,23,0.345499
1.0,105,0.34774
0.0,17,0.348141
0.0,57,0.349328
0.0,194,0.353372
1.0,68,0.354838
0.0,18,0.355321
0.0,17,0.355713
0.0,216,0.362022
1.0,229,0.36689
1.0,180,0.371074
0.0,196,0.37669
0.0,184,0.381362
1.0,101,0.383702
0.0,182,0.387492
0.0,35,0.388311
0.0,34,0.389104
0.0,18,0.389524
0.0,133,0.393508
1.0,93,0.395546
1.0,209,0.399954
1.0,163,0.403454
1.0,154,0.406913
1.0,180,0.410753
0.0,65,0.412137
1.0,180,0.416058
0.0,17,0.416462
0.0,201,0.420624
0.0,59,0.421936
0.0,94,0.424784
0.0,168,0.428363
0.0,17,0.428767
0.0,54,0.429913
0.0,91,0.431915
1.0,78,0.433553
0.0,15,0.433902
1.0,181,0.437647
0.0,47,0.438896
1.0,304,0.445482
0.0,31,0.446192
0.0,47,0.447254
0.0,22,0.447755
1.0,134,0.450621
0.0,12,0.450921
0.0,11,0.451206
0.0,95,0.453166
0.0,34,0.45397
0.0,79,0.455641
0.0,150,0.459716
1.0,168,0.463258
1.0,217,0.467769
1.0,165,0.471723
1.0,305,0.478131
0.0,21,0.478614
0.0,206,0.483186
1.0,130,0.485871
0.0,20,0.486322
0.0,23,0.486831
0.0,141,0.490168
0.0,98,0.492935
1.0,162,0.496598
1.0,180,0.50048
0.0,25,0.50107
0.0,266,0.506804
0.0,28,0.507684
1.0,239,0.51347
0.0,65,0.515076
1.0,265,0.520674
0.0,66,0.522149
1.0,219,0.528268
0.0,44,0.529456
0.0,199,0.534257
0.0,77,0.536249
1.0,250,0.541895
0.0,39,0.542778
0.0,54,0.543989
1.0,85,0.545806
0.0,7,0.545995
0.0,38,0.546874
1.0,674,0.562494
0.0,170,0.566032
0.0,40,0.566919
1.0,277,0.572854
0.0,53,0.574054
1.0,136,0.576919
0.0,17,0.577306
1.0,320,0.583896
0.0,7,0.584085
0.0,15,0.584431
0.0,26,0.584996
0.0,50,0.586047
1.0,142,0.58903
1.0,157,0.593701
0.0,57,0.594939
