episodes,steps,total reward
118,10000,7.0
210,20000,28.0
299,30000,40.0
470,40000,104.0
784,50000,209.0
1120,60000,236.0
1463,70000,249.0
1803,80000,252.0
2144,90000,240.0
2486,100000,250.0
