episodes,steps,total reward
106,10000,7.0
202,20000,24.0
308,30000,41.0
470,40000,99.0
787,50000,222.0
1119,60000,232.0
1464,70000,235.0
1797,80000,249.0
2151,90000,232.0
2504,100000,244.0
