episodes,steps,total reward
110,10000,10.0
196,20000,25.0
281,30000,28.0
396,40000,48.0
670,50000,211.0
1043,60000,281.0
1467,70000,326.0
1872,80000,317.0
2302,90000,329.0
2720,100000,356.0
