episodes,steps,total reward
106,10000,9.0
196,20000,24.0
315,30000,37.0
480,40000,97.0
803,50000,231.0
1134,60000,240.0
1488,70000,233.0
1830,80000,257.0
2184,90000,239.0
2526,100000,242.0
