episodes,steps,total reward
123,10000,11.0
217,20000,25.0
295,30000,26.0
409,40000,45.0
695,50000,196.0
1069,60000,307.0
1474,70000,327.0
1886,80000,336.0
2318,90000,340.0
2742,100000,345.0
