episodes,steps,total reward
123,10000,11.0
202,20000,22.0
287,30000,33.0
394,40000,44.0
698,50000,228.0
1060,60000,275.0
1466,70000,325.0
1882,80000,337.0
2289,90000,317.0
2715,100000,346.0
