episodes,steps,total reward
120,10000,10.0
205,20000,24.0
296,30000,28.0
393,40000,43.0
666,50000,206.0
1038,60000,298.0
1446,70000,318.0
1858,80000,350.0
2284,90000,342.0
2709,100000,349.0
