# {"t_start": 1662807814.848584, "env_id": "Office-single-v0"} 
r,l,t
0.0,15,0.000767
0.0,53,0.001984
0.0,2,0.002078
0.0,31,0.002791
0.0,72,0.004991
0.0,48,0.006326
0.0,43,0.007325
0.0,22,0.007992
0.0,14,0.008346
0.0,108,0.010741
0.0,4,0.01094
0.0,27,0.011672
0.0,45,0.012697
0.0,42,0.013677
0.0,85,0.016108
0.0,108,0.019383
0.0,26,0.020076
0.0,46,0.021362
0.0,10,0.021653
0.0,73,0.023324
0.0,148,0.033888
0.0,10,0.034252
0.0,12,0.034587
0.0,84,0.036768
0.0,39,0.037731
0.0,38,0.038949
0.0,59,0.040593
0.0,58,0.041973
0.0,51,0.043131
1.0,105,0.045494
0.0,26,0.046113
0.0,68,0.047729
0.0,9,0.047988
0.0,27,0.048628
0.0,31,0.049357
0.0,48,0.050496
0.0,24,0.051067
0.0,30,0.051756
0.0,15,0.052144
0.0,179,0.05674
0.0,123,0.059995
0.0,79,0.062157
0.0,109,0.065153
0.0,100,0.067444
0.0,11,0.067737
0.0,72,0.06982
0.0,37,0.071486
0.0,94,0.074442
0.0,77,0.076196
0.0,26,0.076823
0.0,9,0.077066
0.0,13,0.077389
0.0,59,0.078736
0.0,53,0.080307
0.0,93,0.082606
0.0,88,0.084721
0.0,7,0.084937
0.0,82,0.086965
0.0,36,0.08781
0.0,130,0.090815
0.0,41,0.091784
0.0,81,0.093565
0.0,68,0.095148
0.0,89,0.097131
0.0,71,0.098706
0.0,409,0.109183
0.0,80,0.110986
0.0,77,0.112713
0.0,49,0.113802
0.0,25,0.114389
0.0,381,0.122844
0.0,55,0.124113
1.0,225,0.129095
0.0,177,0.133083
1.0,132,0.136121
0.0,134,0.140102
0.0,68,0.141639
0.0,99,0.143793
0.0,243,0.149667
0.0,347,0.157965
0.0,8,0.158226
1.0,158,0.161753
0.0,23,0.162336
0.0,117,0.164925
0.0,147,0.168158
0.0,263,0.175962
1.0,176,0.179886
1.0,144,0.183284
0.0,195,0.187787
0.0,152,0.191237
0.0,65,0.192687
1.0,145,0.196372
0.0,33,0.197396
0.0,15,0.197924
0.0,130,0.200992
0.0,202,0.206502
0.0,93,0.208607
0.0,233,0.214091
0.0,48,0.215401
1.0,249,0.22122
0.0,112,0.223804
0.0,2,0.223925
0.0,167,0.227502
1.0,427,0.236865
0.0,199,0.241857
0.0,75,0.243493
1.0,442,0.253489
0.0,183,0.257643
0.0,13,0.257992
0.0,156,0.261522
0.0,21,0.262038
0.0,15,0.262407
0.0,6,0.262578
0.0,55,0.263773
1.0,142,0.266877
1.0,174,0.270828
0.0,45,0.272576
0.0,105,0.274938
1.0,142,0.277993
0.0,67,0.279916
0.0,25,0.280495
1.0,116,0.283425
0.0,37,0.284263
0.0,64,0.285849
0.0,22,0.28642
1.0,130,0.289532
0.0,12,0.289901
0.0,31,0.290647
0.0,222,0.295651
1.0,181,0.299615
0.0,218,0.305766
0.0,149,0.309407
1.0,225,0.314997
0.0,15,0.315636
0.0,24,0.316219
1.0,78,0.317941
0.0,39,0.31903
0.0,80,0.320811
0.0,96,0.322941
0.0,229,0.328101
0.0,185,0.332045
1.0,92,0.333987
0.0,92,0.336059
0.0,93,0.338857
0.0,81,0.34114
0.0,62,0.342601
1.0,186,0.347332
0.0,83,0.349135
0.0,33,0.350197
0.0,143,0.353521
0.0,26,0.354153
1.0,240,0.359404
0.0,41,0.360346
1.0,151,0.363644
0.0,71,0.365212
1.0,98,0.367344
1.0,244,0.374249
0.0,75,0.375932
1.0,215,0.380631
0.0,99,0.382823
0.0,56,0.384101
0.0,47,0.385159
0.0,552,0.397506
1.0,135,0.400492
1.0,227,0.406595
0.0,15,0.407015
1.0,196,0.411181
1.0,43,0.412353
0.0,34,0.413227
0.0,4,0.413355
0.0,26,0.414012
0.0,47,0.415042
0.0,213,0.420085
0.0,190,0.42429
0.0,26,0.424916
0.0,181,0.428834
1.0,184,0.432788
0.0,88,0.434656
0.0,6,0.434829
0.0,8,0.435041
1.0,235,0.441236
1.0,139,0.444254
0.0,124,0.447058
1.0,186,0.451018
1.0,82,0.453017
1.0,168,0.456764
0.0,205,0.461224
0.0,87,0.463118
0.0,138,0.46603
0.0,61,0.467348
0.0,45,0.468323
0.0,59,0.469692
0.0,14,0.470036
0.0,46,0.472118
1.0,285,0.47817
1.0,121,0.481218
0.0,39,0.482097
0.0,13,0.482717
0.0,76,0.484364
0.0,134,0.487642
0.0,16,0.488032
1.0,240,0.49343
