episodes,steps,total reward
121,10000,11.0
210,20000,21.0
291,30000,31.0
403,40000,47.0
665,50000,192.0
1058,60000,310.0
1442,70000,314.0
1852,80000,321.0
2275,90000,339.0
2705,100000,340.0
