# {"t_start": 1662808072.684031, "env_id": "Office-single-v0"} 
r,l,t
0.0,18,0.000893
0.0,15,0.001297
0.0,10,0.00157
0.0,20,0.002062
0.0,43,0.003036
0.0,35,0.003838
0.0,15,0.004215
0.0,18,0.00465
0.0,45,0.005707
0.0,7,0.005904
0.0,29,0.006568
0.0,53,0.008042
0.0,37,0.008986
0.0,134,0.011956
0.0,36,0.012793
0.0,92,0.015124
0.0,82,0.018322
0.0,39,0.019297
0.0,31,0.020078
0.0,93,0.022171
0.0,55,0.02378
0.0,176,0.031888
0.0,25,0.03297
0.0,66,0.034624
0.0,60,0.036079
0.0,13,0.036431
0.0,44,0.037468
0.0,101,0.040261
0.0,62,0.041684
0.0,60,0.043038
0.0,16,0.043429
0.0,48,0.044559
0.0,70,0.046125
0.0,83,0.048102
0.0,45,0.049533
0.0,125,0.053129
0.0,125,0.056407
0.0,70,0.058607
0.0,69,0.060419
0.0,13,0.060768
0.0,30,0.061457
0.0,81,0.063559
0.0,49,0.064708
0.0,60,0.066071
0.0,63,0.067673
0.0,26,0.068312
0.0,7,0.068513
0.0,40,0.069435
0.0,128,0.072223
0.0,182,0.076169
0.0,2,0.076266
0.0,54,0.077467
0.0,101,0.079704
0.0,41,0.080684
0.0,66,0.082882
0.0,132,0.086877
0.0,61,0.088531
0.0,23,0.089098
0.0,88,0.091028
1.0,133,0.094052
0.0,16,0.094494
0.0,272,0.101335
0.0,66,0.102855
0.0,14,0.103208
0.0,224,0.108103
0.0,98,0.11024
0.0,65,0.111727
0.0,11,0.112016
0.0,52,0.113167
0.0,76,0.115007
0.0,44,0.116691
0.0,18,0.117317
0.0,10,0.117737
0.0,42,0.118704
0.0,557,0.131083
1.0,379,0.139532
1.0,117,0.142151
0.0,188,0.146234
0.0,155,0.151134
0.0,161,0.15471
1.0,262,0.160495
0.0,2,0.1606
0.0,41,0.161576
0.0,197,0.166425
1.0,259,0.172372
1.0,119,0.175036
1.0,298,0.18164
0.0,55,0.183937
1.0,283,0.19079
0.0,145,0.195182
0.0,191,0.200483
0.0,66,0.202061
0.0,259,0.208487
1.0,380,0.217699
0.0,94,0.219852
1.0,138,0.223022
1.0,222,0.227873
1.0,163,0.231583
0.0,180,0.235624
0.0,105,0.237862
0.0,131,0.240737
0.0,56,0.241949
0.0,88,0.243822
0.0,163,0.247669
0.0,102,0.25097
0.0,35,0.251861
0.0,47,0.252897
1.0,245,0.258199
1.0,182,0.262192
1.0,209,0.267039
0.0,136,0.269945
0.0,47,0.270975
1.0,440,0.280569
0.0,23,0.281262
0.0,165,0.286226
0.0,107,0.288687
0.0,36,0.289568
1.0,172,0.293939
0.0,173,0.298277
0.0,174,0.303099
0.0,82,0.305193
0.0,12,0.305553
0.0,41,0.306627
0.0,31,0.307469
1.0,315,0.314835
1.0,198,0.319771
1.0,147,0.322961
0.0,81,0.324871
0.0,186,0.329002
0.0,67,0.330731
0.0,30,0.331419
1.0,318,0.338555
0.0,72,0.340164
1.0,133,0.343078
0.0,86,0.344955
0.0,73,0.34655
0.0,134,0.350769
0.0,69,0.352767
0.0,55,0.354005
1.0,149,0.357284
0.0,23,0.35783
0.0,185,0.361864
0.0,22,0.362377
0.0,183,0.366549
0.0,55,0.367963
0.0,62,0.369302
0.0,63,0.370678
0.0,93,0.372755
1.0,257,0.378596
1.0,161,0.382414
0.0,101,0.385893
0.0,278,0.392135
0.0,9,0.392386
1.0,190,0.396669
1.0,210,0.401405
1.0,401,0.409951
0.0,21,0.410449
1.0,237,0.416406
0.0,79,0.418517
0.0,221,0.423196
0.0,16,0.423587
0.0,155,0.427373
0.0,11,0.427675
0.0,19,0.42812
0.0,125,0.430986
1.0,280,0.437134
0.0,88,0.439174
0.0,4,0.43931
0.0,32,0.440045
0.0,14,0.440388
1.0,68,0.441881
0.0,133,0.444788
1.0,326,0.452659
0.0,43,0.453666
0.0,17,0.454075
0.0,64,0.455465
1.0,166,0.459208
0.0,51,0.460347
0.0,136,0.463468
0.0,200,0.467961
0.0,169,0.471619
0.0,6,0.471797
1.0,297,0.478066
0.0,14,0.478415
0.0,11,0.4787
0.0,44,0.479659
1.0,317,0.487843
0.0,23,0.488577
0.0,218,0.493792
0.0,110,0.496214
0.0,4,0.496349
0.0,14,0.496867
1.0,194,0.501184
0.0,64,0.502628
1.0,165,0.506371
0.0,61,0.507691
1.0,146,0.510879
0.0,92,0.512875
0.0,49,0.514084
0.0,44,0.515095
0.0,33,0.516793
0.0,305,0.523653
0.0,79,0.525514
1.0,145,0.528781
1.0,215,0.534197
0.0,10,0.534528
0.0,21,0.535057
0.0,156,0.538861
0.0,169,0.543099
1.0,154,0.546459
0.0,6,0.546955
0.0,59,0.548619
1.0,569,0.561591
0.0,48,0.562724
0.0,146,0.566171
0.0,137,0.569224
1.0,252,0.574797
0.0,9,0.575038
0.0,260,0.580558
1.0,163,0.585555
0.0,11,0.585884
0.0,67,0.587382
1.0,92,0.589564
1.0,45,0.590608
1.0,148,0.593898
1.0,250,0.599514
1.0,165,0.603207
0.0,12,0.603511
0.0,92,0.605699
0.0,34,0.606457
1.0,352,0.614003
1.0,98,0.616984
0.0,44,0.618559
1.0,97,0.620696
1.0,414,0.629432
0.0,134,0.63254
0.0,43,0.633634
0.0,86,0.635515
0.0,175,0.639234
1.0,408,0.647985
0.0,22,0.648593
1.0,118,0.652201
0.0,84,0.654049
1.0,132,0.656861
0.0,146,0.660004
0.0,97,0.662085
1.0,63,0.663682
1.0,336,0.670944
1.0,131,0.673826
0.0,54,0.675017
1.0,267,0.680838
1.0,163,0.686259
0.0,78,0.688004
0.0,55,0.689231
0.0,4,0.68936
0.0,21,0.689848
1.0,203,0.694393
1.0,145,0.697835
0.0,143,0.70101
0.0,172,0.704623
1.0,100,0.70714
0.0,181,0.71097
0.0,6,0.711138
0.0,43,0.712071
0.0,15,0.712425
0.0,8,0.712628
0.0,173,0.717756
0.0,27,0.718447
0.0,40,0.719337
1.0,139,0.722279
0.0,7,0.722469
0.0,26,0.72305
1.0,47,0.72408
0.0,59,0.725345
1.0,133,0.728255
0.0,50,0.729346
0.0,40,0.730561
0.0,5,0.730721
1.0,112,0.7331
0.0,47,0.734268
1.0,185,0.738246
0.0,46,0.739256
1.0,94,0.741244
0.0,12,0.741536
0.0,61,0.742832
0.0,148,0.745958
1.0,30,0.74664
0.0,86,0.749149
0.0,117,0.752596
0.0,88,0.754581
1.0,164,0.758239
0.0,7,0.758443
1.0,116,0.761118
0.0,8,0.761345
0.0,114,0.764055
0.0,4,0.764198
1.0,97,0.766814
0.0,28,0.767524
0.0,138,0.770881
1.0,118,0.77391
0.0,67,0.775669
1.0,83,0.777484
0.0,140,0.780688
0.0,67,0.782629
1.0,123,0.786153
1.0,125,0.789165
1.0,98,0.791359
0.0,15,0.791726
1.0,165,0.795326
0.0,50,0.79649
1.0,68,0.798173
0.0,16,0.798571
1.0,106,0.800943
0.0,54,0.802141
0.0,14,0.802486
0.0,60,0.803809
1.0,98,0.805982
0.0,64,0.807396
0.0,143,0.810493
0.0,7,0.8107
0.0,21,0.811189
1.0,151,0.814608
0.0,134,0.819563
0.0,31,0.820476
1.0,86,0.822374
0.0,62,0.823731
0.0,6,0.823903
0.0,46,0.824899
0.0,72,0.826443
0.0,10,0.826687
0.0,23,0.827367
1.0,308,0.835251
1.0,86,0.837667
0.0,30,0.838437
0.0,231,0.843512
0.0,19,0.843974
0.0,37,0.844824
0.0,15,0.845171
0.0,114,0.847999
0.0,30,0.849304
1.0,232,0.85495
0.0,88,0.856913
0.0,182,0.860924
0.0,12,0.861229
0.0,48,0.862309
1.0,48,0.863618
1.0,299,0.870302
1.0,83,0.872169
1.0,37,0.873007
1.0,241,0.87808
1.0,328,0.886328
0.0,2,0.886455
0.0,46,0.887485
0.0,129,0.890271
0.0,46,0.891504
1.0,29,0.892162
0.0,15,0.892515
0.0,26,0.893097
0.0,58,0.894341
0.0,285,0.900863
