episodes,steps,total reward
103,10000,12.0
186,20000,22.0
266,30000,30.0
390,40000,46.0
664,50000,210.0
1036,60000,316.0
1437,70000,311.0
1859,80000,334.0
2286,90000,335.0
2713,100000,341.0
