episodes,steps,total reward
105,10000,6.0
204,20000,27.0
287,30000,42.0
459,40000,105.0
772,50000,221.0
1105,60000,231.0
1455,70000,249.0
1804,80000,252.0
2151,90000,245.0
2495,100000,241.0
