episodes,steps,total reward
113,10000,7.0
204,20000,27.0
305,30000,39.0
479,40000,104.0
801,50000,214.0
1134,60000,239.0
1477,70000,243.0
1827,80000,247.0
2182,90000,250.0
2529,100000,248.0
