episodes,steps,total reward
117,10000,5.0
208,20000,29.0
299,30000,38.0
470,40000,101.0
792,50000,222.0
1111,60000,236.0
1458,70000,236.0
1807,80000,246.0
2149,90000,247.0
2505,100000,244.0
