# {"t_start": 1662807610.5741131, "env_id": "Office-single-v1"} 
r,l,t
0.0,22,0.00091
0.0,17,0.00134
0.0,21,0.001849
0.0,69,0.003395
0.0,38,0.004257
0.0,14,0.004629
0.0,10,0.004882
0.0,45,0.005862
0.0,13,0.006184
0.0,16,0.006565
0.0,21,0.007051
0.0,29,0.007903
0.0,56,0.009242
0.0,21,0.009723
0.0,106,0.011969
0.0,33,0.012707
0.0,43,0.013716
0.0,8,0.013981
0.0,73,0.016096
0.0,30,0.017089
0.0,30,0.017784
0.0,37,0.018617
0.0,43,0.019574
0.0,97,0.021644
0.0,26,0.022237
0.0,9,0.022469
0.0,117,0.024941
0.0,56,0.026193
0.0,78,0.028334
0.0,46,0.030082
0.0,8,0.030452
0.0,106,0.033513
0.0,130,0.036726
0.0,53,0.038977
0.0,76,0.041884
0.0,123,0.046307
0.0,74,0.048046
0.0,73,0.050252
0.0,10,0.050574
0.0,68,0.052376
0.0,175,0.05698
0.0,111,0.059986
0.0,84,0.061825
0.0,40,0.062964
0.0,82,0.064991
0.0,12,0.065302
0.0,108,0.06777
0.0,88,0.069753
0.0,240,0.074975
0.0,314,0.082256
0.0,120,0.08561
0.0,17,0.086035
0.0,128,0.08887
0.0,328,0.095905
0.0,10,0.096389
0.0,67,0.097915
0.0,28,0.098563
0.0,78,0.100275
0.0,46,0.10131
0.0,62,0.102674
0.0,135,0.105612
0.0,64,0.107066
0.0,124,0.110182
0.0,205,0.115379
0.0,66,0.117483
0.0,161,0.120955
0.0,31,0.12166
0.0,6,0.121835
0.0,193,0.125926
1.0,241,0.13141
0.0,31,0.132147
0.0,181,0.136154
0.0,44,0.137149
0.0,144,0.14042
0.0,101,0.142615
0.0,35,0.143413
0.0,70,0.144955
0.0,25,0.14556
0.0,56,0.146845
0.0,39,0.147759
0.0,52,0.149499
0.0,18,0.150024
0.0,242,0.155212
0.0,44,0.15632
1.0,188,0.160502
0.0,12,0.160849
0.0,75,0.162519
0.0,168,0.166433
0.0,16,0.166846
0.0,165,0.170373
0.0,47,0.171565
0.0,157,0.174977
0.0,62,0.176342
0.0,148,0.179533
0.0,39,0.180482
1.0,166,0.184653
0.0,199,0.188974
0.0,32,0.189715
0.0,223,0.194553
0.0,9,0.194795
0.0,16,0.195185
0.0,42,0.196279
1.0,117,0.198877
0.0,68,0.200494
0.0,72,0.202315
0.0,12,0.202828
0.0,11,0.203219
0.0,40,0.204402
0.0,127,0.207232
0.0,63,0.208662
0.0,113,0.211125
0.0,113,0.214034
0.0,66,0.217477
0.0,76,0.220387
1.0,258,0.229754
0.0,6,0.230127
0.0,58,0.232575
0.0,187,0.239862
0.0,15,0.240522
0.0,208,0.2481
0.0,175,0.253512
1.0,150,0.257143
1.0,89,0.259206
0.0,16,0.259751
0.0,65,0.262361
0.0,98,0.265997
1.0,237,0.271478
1.0,257,0.276773
0.0,19,0.277287
0.0,59,0.278563
0.0,117,0.281242
0.0,29,0.282281
0.0,52,0.283724
0.0,8,0.283938
0.0,50,0.28503
0.0,54,0.286196
0.0,35,0.28697
0.0,48,0.287996
0.0,60,0.289385
0.0,114,0.291899
1.0,230,0.297152
0.0,20,0.29786
0.0,195,0.301951
0.0,19,0.302395
0.0,196,0.306588
1.0,181,0.310329
1.0,204,0.314665
1.0,98,0.317711
0.0,178,0.322054
0.0,163,0.326345
0.0,16,0.326802
0.0,22,0.327379
0.0,84,0.329261
0.0,111,0.331843
0.0,143,0.334857
1.0,225,0.340156
1.0,178,0.344041
0.0,153,0.347365
0.0,54,0.348977
0.0,18,0.349526
0.0,122,0.352551
1.0,213,0.357122
0.0,24,0.357802
0.0,121,0.360435
0.0,18,0.360861
0.0,193,0.365225
1.0,242,0.370415
0.0,64,0.37186
1.0,149,0.374966
1.0,116,0.377404
0.0,180,0.381296
1.0,101,0.384669
1.0,138,0.387614
0.0,13,0.387937
1.0,222,0.392814
0.0,2,0.392913
0.0,8,0.393127
0.0,10,0.393412
0.0,2,0.393493
0.0,59,0.394971
0.0,15,0.395342
0.0,75,0.397223
0.0,170,0.400818
1.0,113,0.403218
1.0,226,0.407896
0.0,38,0.40873
1.0,221,0.413455
0.0,78,0.415471
0.0,35,0.416671
0.0,40,0.417852
0.0,143,0.42087
1.0,124,0.423526
0.0,114,0.425922
0.0,8,0.426134
1.0,123,0.428868
0.0,9,0.429124
0.0,83,0.431217
1.0,137,0.434291
0.0,153,0.437534
1.0,230,0.442493
0.0,181,0.446266
1.0,159,0.450569
0.0,24,0.451228
0.0,22,0.451807
0.0,105,0.454338
0.0,29,0.454976
0.0,21,0.455447
1.0,142,0.45866
0.0,18,0.459098
1.0,166,0.462568
0.0,60,0.4641
0.0,21,0.464581
0.0,95,0.466579
1.0,143,0.469573
1.0,94,0.471629
0.0,27,0.472224
0.0,6,0.472392
0.0,33,0.47325
1.0,218,0.477822
0.0,70,0.479324
0.0,29,0.480014
1.0,129,0.483816
0.0,82,0.485649
0.0,7,0.485847
0.0,255,0.491408
1.0,105,0.493672
0.0,161,0.497662
