episodes,steps,total reward
103,10000,7.0
193,20000,25.0
288,30000,40.0
476,40000,108.0
795,50000,229.0
1129,60000,244.0
1470,70000,236.0
1825,80000,241.0
2178,90000,237.0
2522,100000,247.0
