Steps,25th Percentile,Median,75th Percentile
185000.0,33.125,49.15,93.075
186000.0,33.075,48.05,92.175
187000.0,32.15,44.35,73.975
188000.0,31.075,42.4,63.35
189000.0,30.975,42.5,61.0
190000.0,30.6,41.15,59.475
191000.0,30.95,39.8,59.125
192000.0,30.875,40.0,60.625
193000.0,30.35,39.1,62.7
194000.0,30.15,38.55,62.6
195000.0,30.225,38.8,65.675
196000.0,29.15,37.45,66.425
197000.0,29.975,38.1,67.325
198000.0,29.725,37.9,67.775
199000.0,30.5,38.1,68.75
200000.0,30.8,39.65,71.675
201000.0,29.975,38.0,66.175
202000.0,30.125,37.75,64.95
203000.0,30.125,39.75,63.325
204000.0,28.725,37.75,62.0
205000.0,28.975,39.2,60.025
206000.0,29.8,39.85,61.6
207000.0,30.2,40.55,66.075
208000.0,31.125,41.95,69.35
209000.0,30.9,42.4,69.925
210000.0,30.4,41.55,67.675
211000.0,31.775,44.95,73.45
212000.0,32.6,46.5,77.225
213000.0,32.8,44.45,84.15
214000.0,33.175,45.1,86.025
215000.0,33.2,45.0,91.35
216000.0,33.775,45.6,89.65
217000.0,33.725,45.6,87.6
218000.0,35.025,47.9,102.3
219000.0,35.35,48.8,106.05
220000.0,35.725,48.75,106.15
221000.0,34.65,46.95,105.625
222000.0,34.475,47.4,107.225
223000.0,34.75,47.5,99.85
224000.0,35.125,46.9,97.3
225000.0,34.6,45.8,88.375
226000.0,33.875,45.05,87.1
227000.0,33.55,44.6,91.65
228000.0,32.025,42.0,74.125
229000.0,31.725,41.3,68.9
230000.0,32.375,44.65,74.55
231000.0,32.65,43.85,70.4
232000.0,31.925,41.9,67.625
233000.0,32.675,45.1,74.025
234000.0,33.45,47.4,83.775
235000.0,33.425,46.7,83.8
236000.0,32.925,46.8,84.675
237000.0,32.9,47.2,80.475
238000.0,32.575,46.8,81.225
239000.0,32.45,47.45,91.825
240000.0,32.325,45.1,88.375
241000.0,32.525,45.25,88.4
242000.0,33.125,47.1,91.6
243000.0,31.55,44.65,95.075
244000.0,33.6,48.4,95.725
245000.0,36.325,58.1,118.675
246000.0,36.65,58.95,121.325
247000.0,35.975,57.65,120.4
248000.0,36.325,58.2,119.125
249000.0,36.025,57.4,108.975
250000.0,36.15,57.25,109.55
