episodes,steps,total reward
114,10000,7.0
213,20000,28.0
304,30000,37.0
481,40000,107.0
792,50000,221.0
1137,60000,219.0
1480,70000,253.0
1831,80000,248.0
2184,90000,246.0
2529,100000,238.0
