episodes,steps,total reward
125,10000,11.0
203,20000,20.0
284,30000,30.0
411,40000,47.0
704,50000,210.0
1089,60000,297.0
1480,70000,307.0
1921,80000,336.0
2343,90000,332.0
2771,100000,344.0
