episodes,steps,total reward
109,10000,6.0
206,20000,26.0
306,30000,40.0
488,40000,102.0
781,50000,215.0
1132,60000,227.0
1488,70000,240.0
1836,80000,239.0
2177,90000,255.0
2527,100000,244.0
