episodes,steps,total reward
108,10000,8.0
204,20000,25.0
288,30000,44.0
465,40000,105.0
783,50000,212.0
1117,60000,247.0
1465,70000,231.0
1810,80000,241.0
2168,90000,243.0
2518,100000,247.0
