episodes,steps,total reward
117,10000,11.0
206,20000,23.0
295,30000,29.0
409,40000,42.0
659,50000,175.0
1031,60000,307.0
1445,70000,333.0
1863,80000,318.0
2275,90000,351.0
2709,100000,346.0
