episodes,steps,total reward
106,10000,6.0
208,20000,25.0
297,30000,43.0
477,40000,96.0
806,50000,224.0
1138,60000,241.0
1487,70000,243.0
1835,80000,242.0
2185,90000,238.0
2540,100000,239.0
