episodes,steps,total reward
113,10000,9.0
211,20000,27.0
305,30000,36.0
465,40000,99.0
779,50000,216.0
1112,60000,238.0
1452,70000,234.0
1796,80000,243.0
2135,90000,249.0
2484,100000,241.0
