episodes,steps,total reward
121,10000,11.0
209,20000,22.0
296,30000,27.0
414,40000,42.0
695,50000,201.0
1089,60000,326.0
1497,70000,329.0
1904,80000,324.0
2324,90000,346.0
2755,100000,348.0
