# {"t_start": 1662808011.892663, "env_id": "Office-single-v0"} 
r,l,t
0.0,72,0.002311
0.0,7,0.002537
0.0,48,0.003646
0.0,27,0.00428
0.0,28,0.004947
0.0,17,0.005373
0.0,22,0.006125
0.0,17,0.006634
0.0,35,0.007632
0.0,72,0.009947
0.0,11,0.010277
0.0,38,0.01118
0.0,4,0.011317
0.0,24,0.011892
0.0,12,0.012209
0.0,36,0.013056
0.0,10,0.013321
0.0,33,0.014114
0.0,105,0.016546
0.0,30,0.017272
0.0,101,0.019614
0.0,45,0.02067
0.0,38,0.021571
0.0,98,0.023931
0.0,75,0.025691
0.0,72,0.02732
0.0,56,0.028558
0.0,13,0.028884
0.0,26,0.02948
0.0,21,0.029975
0.0,16,0.030547
0.0,167,0.034371
0.0,141,0.037548
0.0,37,0.038433
0.0,101,0.041561
0.0,14,0.042219
0.0,99,0.04445
0.0,67,0.045913
0.0,32,0.046621
0.0,137,0.04958
0.0,56,0.050818
0.0,70,0.052395
0.0,12,0.052694
0.0,26,0.053286
0.0,72,0.054848
0.0,97,0.057222
0.0,50,0.059276
0.0,21,0.059977
0.0,61,0.061441
0.0,72,0.063226
0.0,104,0.066861
0.0,13,0.067576
0.0,7,0.068421
0.0,49,0.070163
0.0,51,0.071746
0.0,99,0.075522
0.0,2,0.075806
0.0,56,0.077739
0.0,31,0.083863
0.0,103,0.087506
0.0,51,0.088871
0.0,80,0.090734
0.0,97,0.093233
0.0,52,0.094602
0.0,67,0.096122
0.0,43,0.09738
0.0,142,0.100595
0.0,213,0.105316
0.0,127,0.109791
0.0,17,0.110296
0.0,7,0.110523
0.0,12,0.110854
0.0,75,0.113285
0.0,23,0.114321
0.0,25,0.115425
0.0,120,0.119367
0.0,90,0.121408
1.0,203,0.127185
0.0,52,0.128615
0.0,75,0.130605
0.0,7,0.130838
0.0,174,0.134955
0.0,189,0.13948
0.0,51,0.140765
0.0,117,0.143895
0.0,23,0.14449
1.0,193,0.148881
0.0,29,0.149577
0.0,77,0.15154
0.0,24,0.152167
0.0,12,0.152483
1.0,203,0.157242
0.0,148,0.160696
1.0,220,0.165713
0.0,331,0.173054
0.0,12,0.173406
0.0,25,0.174287
0.0,5,0.174486
0.0,63,0.176643
1.0,182,0.180686
0.0,73,0.182345
0.0,214,0.187129
1.0,226,0.192517
0.0,44,0.193598
0.0,155,0.197248
0.0,62,0.199321
1.0,182,0.203685
1.0,234,0.209951
1.0,373,0.218262
0.0,38,0.219209
0.0,84,0.221124
0.0,240,0.226703
0.0,51,0.22789
1.0,128,0.230893
0.0,199,0.235411
1.0,263,0.242264
0.0,122,0.245145
0.0,294,0.253535
0.0,21,0.254126
0.0,166,0.258104
0.0,62,0.260239
0.0,376,0.275681
0.0,203,0.284692
1.0,151,0.289576
0.0,28,0.290698
0.0,36,0.292205
1.0,78,0.294445
0.0,8,0.294717
1.0,185,0.301469
1.0,364,0.313937
0.0,185,0.319637
0.0,203,0.324787
1.0,129,0.328159
1.0,189,0.33313
1.0,201,0.338113
0.0,34,0.339142
0.0,54,0.340431
0.0,41,0.341698
0.0,11,0.342134
0.0,99,0.344557
0.0,13,0.344912
0.0,59,0.346264
0.0,63,0.347701
0.0,43,0.348724
1.0,184,0.352808
0.0,97,0.354967
0.0,105,0.35749
0.0,188,0.361857
1.0,161,0.365541
0.0,31,0.366256
0.0,66,0.367728
0.0,30,0.368417
1.0,206,0.372982
0.0,223,0.378708
0.0,134,0.38164
0.0,59,0.382941
0.0,137,0.3859
0.0,71,0.387448
0.0,23,0.387977
0.0,17,0.388382
0.0,33,0.3894
0.0,6,0.38959
0.0,69,0.391131
1.0,98,0.393452
1.0,201,0.398525
0.0,8,0.398844
0.0,259,0.404664
0.0,129,0.408051
0.0,123,0.410954
0.0,47,0.412033
0.0,232,0.417053
0.0,444,0.42689
0.0,16,0.427296
1.0,264,0.433369
0.0,102,0.435614
0.0,40,0.436522
0.0,111,0.438938
1.0,152,0.443055
0.0,2,0.443172
0.0,14,0.443521
1.0,118,0.446051
0.0,12,0.446354
0.0,155,0.449732
0.0,42,0.450674
1.0,204,0.455315
0.0,209,0.460136
0.0,169,0.463869
0.0,40,0.464986
1.0,227,0.470057
0.0,56,0.471546
0.0,84,0.473448
1.0,321,0.481224
0.0,38,0.482152
0.0,109,0.484588
0.0,2,0.484679
1.0,174,0.488539
1.0,269,0.49479
0.0,22,0.495402
0.0,56,0.496744
0.0,67,0.498813
