episodes,steps,total reward
124,10000,10.0
213,20000,25.0
296,30000,25.0
419,40000,54.0
675,50000,179.0
1043,60000,292.0
1471,70000,325.0
1877,80000,327.0
2308,90000,341.0
2731,100000,347.0
