# {"t_start": 1662807269.258164, "env_id": "Office-single-v0"} 
r,l,t
0.0,10,0.000604
0.0,28,0.001288
0.0,50,0.002416
0.0,30,0.003137
0.0,22,0.003653
0.0,27,0.004254
0.0,12,0.00455
0.0,48,0.005638
0.0,115,0.008735
0.0,22,0.009527
0.0,35,0.010305
0.0,35,0.011083
0.0,35,0.011849
0.0,102,0.014044
0.0,46,0.015093
0.0,33,0.015847
0.0,57,0.017104
0.0,43,0.01805
0.0,112,0.020495
0.0,64,0.021906
0.0,97,0.024152
0.0,36,0.025269
0.0,31,0.026594
0.0,84,0.028431
0.0,80,0.030117
0.0,68,0.031709
0.0,45,0.032714
0.0,50,0.033788
0.0,65,0.035209
0.0,65,0.036619
0.0,105,0.038852
0.0,128,0.042015
0.0,67,0.043592
0.0,183,0.047483
0.0,42,0.048481
0.0,48,0.049507
0.0,54,0.050685
0.0,16,0.051056
0.0,109,0.053321
0.0,35,0.054087
0.0,198,0.058637
0.0,77,0.061558
0.0,53,0.063296
0.0,43,0.064707
0.0,27,0.065561
0.0,32,0.066514
0.0,17,0.066984
0.0,66,0.073229
0.0,2,0.073403
0.0,98,0.077227
0.0,58,0.078578
0.0,68,0.080031
0.0,57,0.081287
0.0,4,0.081421
0.0,77,0.083067
0.0,30,0.083738
0.0,135,0.086588
0.0,151,0.089845
0.0,90,0.092469
0.0,196,0.097126
0.0,72,0.09872
0.0,4,0.098864
1.0,130,0.101714
0.0,29,0.102405
0.0,63,0.103762
0.0,41,0.104689
0.0,113,0.107327
0.0,27,0.107953
0.0,50,0.109178
0.0,5,0.109356
0.0,37,0.110172
0.0,19,0.110615
0.0,299,0.11724
0.0,88,0.119478
0.0,82,0.121579
0.0,117,0.1243
0.0,14,0.124686
0.0,60,0.126912
0.0,347,0.13438
0.0,6,0.134591
0.0,71,0.136119
0.0,37,0.136944
0.0,6,0.137145
0.0,62,0.138538
1.0,154,0.142347
0.0,99,0.144556
0.0,40,0.145463
0.0,4,0.145594
1.0,106,0.147949
1.0,216,0.152607
0.0,174,0.156341
0.0,27,0.156992
1.0,226,0.163075
0.0,181,0.167457
0.0,197,0.171831
1.0,203,0.178022
0.0,10,0.178337
1.0,286,0.185042
0.0,13,0.185393
0.0,42,0.186323
0.0,176,0.190542
1.0,87,0.193291
0.0,10,0.193792
0.0,234,0.198919
0.0,24,0.199489
0.0,225,0.204263
0.0,33,0.205002
0.0,20,0.205478
1.0,206,0.210126
0.0,89,0.212103
0.0,210,0.216621
0.0,171,0.220237
0.0,39,0.221094
0.0,123,0.223757
0.0,67,0.225568
0.0,34,0.226803
0.0,107,0.229396
0.0,46,0.230412
0.0,17,0.230821
0.0,122,0.234352
0.0,14,0.235094
0.0,8,0.235505
1.0,109,0.238428
0.0,174,0.242831
1.0,155,0.246765
0.0,15,0.247152
0.0,4,0.247283
0.0,252,0.255519
0.0,106,0.260007
0.0,383,0.276478
1.0,344,0.289853
0.0,24,0.290904
0.0,7,0.291277
0.0,134,0.295273
0.0,20,0.295894
0.0,27,0.297127
0.0,129,0.302035
0.0,209,0.307187
0.0,47,0.308319
1.0,191,0.313225
0.0,31,0.313971
0.0,69,0.315577
1.0,203,0.320156
0.0,155,0.323711
1.0,141,0.327462
1.0,132,0.330356
0.0,57,0.331629
0.0,31,0.332514
0.0,66,0.334163
0.0,74,0.33576
0.0,50,0.336845
1.0,170,0.340685
0.0,192,0.345016
1.0,207,0.349383
0.0,8,0.349599
0.0,181,0.353403
0.0,44,0.354349
0.0,109,0.357007
0.0,17,0.357481
0.0,271,0.363938
0.0,112,0.366338
0.0,44,0.367279
0.0,21,0.367754
0.0,5,0.367896
0.0,127,0.370519
0.0,93,0.372444
0.0,4,0.372572
0.0,6,0.372787
1.0,93,0.374916
1.0,357,0.38246
1.0,156,0.385689
0.0,71,0.387177
0.0,173,0.39087
0.0,45,0.392264
0.0,29,0.392923
0.0,62,0.394535
0.0,16,0.394925
0.0,71,0.396421
1.0,221,0.400972
0.0,85,0.402752
0.0,140,0.405624
1.0,258,0.411331
0.0,221,0.415893
1.0,208,0.420232
0.0,46,0.421222
0.0,6,0.421389
0.0,12,0.421679
1.0,193,0.426497
0.0,56,0.427745
1.0,206,0.432086
1.0,161,0.435402
0.0,50,0.43677
0.0,43,0.437702
1.0,97,0.440007
1.0,106,0.44233
0.0,69,0.443902
1.0,163,0.447448
0.0,169,0.451218
0.0,201,0.455428
1.0,202,0.460582
0.0,197,0.464637
0.0,56,0.465852
0.0,35,0.466604
0.0,42,0.4675
0.0,142,0.470423
1.0,150,0.473705
1.0,150,0.477059
0.0,12,0.477374
0.0,15,0.47773
0.0,126,0.480334
0.0,62,0.481808
1.0,197,0.485855
1.0,245,0.490949
0.0,9,0.491444
0.0,12,0.492196
0.0,32,0.493316
0.0,60,0.494683
1.0,161,0.498197
0.0,106,0.500426
0.0,7,0.500617
0.0,282,0.50661
0.0,64,0.507974
1.0,48,0.50915
1.0,204,0.513387
1.0,171,0.516991
0.0,90,0.518907
1.0,145,0.521874
0.0,154,0.525679
0.0,6,0.526385
0.0,183,0.53044
1.0,222,0.535402
1.0,350,0.543614
0.0,98,0.545995
0.0,242,0.551625
0.0,11,0.551929
0.0,299,0.5592
0.0,43,0.560436
0.0,55,0.561709
1.0,168,0.565236
0.0,58,0.566489
0.0,49,0.567677
1.0,288,0.573928
0.0,24,0.57447
0.0,5,0.574614
1.0,254,0.580009
0.0,150,0.583199
1.0,74,0.584765
0.0,142,0.587698
1.0,175,0.591423
0.0,4,0.591619
1.0,217,0.597214
0.0,203,0.601468
0.0,14,0.601819
1.0,220,0.606718
0.0,30,0.607396
0.0,56,0.608569
0.0,19,0.60917
1.0,236,0.614008
0.0,4,0.614138
1.0,277,0.619842
0.0,52,0.620934
0.0,51,0.622039
0.0,183,0.626729
0.0,2,0.626996
0.0,6,0.627234
0.0,14,0.627868
0.0,506,0.638076
1.0,192,0.642598
0.0,93,0.644687
0.0,69,0.646136
1.0,129,0.648867
1.0,203,0.653043
0.0,42,0.653938
1.0,414,0.663716
1.0,140,0.666773
0.0,206,0.671297
0.0,248,0.677359
1.0,102,0.680011
0.0,46,0.681
0.0,136,0.683929
1.0,174,0.687585
0.0,212,0.692787
0.0,10,0.693453
0.0,23,0.694068
0.0,18,0.694496
0.0,32,0.695204
0.0,42,0.69611
0.0,116,0.698571
1.0,91,0.700507
1.0,102,0.702661
0.0,28,0.703295
0.0,164,0.70689
0.0,58,0.708141
0.0,50,0.709382
0.0,88,0.711225
0.0,45,0.71219
1.0,271,0.717996
0.0,146,0.721009
1.0,59,0.722254
1.0,134,0.725569
1.0,395,0.734725
1.0,150,0.7379
0.0,109,0.740412
1.0,164,0.743987
0.0,94,0.745956
1.0,185,0.750017
0.0,48,0.751075
0.0,36,0.751863
0.0,90,0.753769
0.0,20,0.75422
0.0,195,0.758878
0.0,31,0.759833
1.0,67,0.761749
0.0,59,0.76304
0.0,158,0.766337
0.0,26,0.766926
0.0,28,0.76754
0.0,43,0.768456
0.0,8,0.768666
0.0,21,0.76913
0.0,24,0.769651
0.0,21,0.77022
1.0,138,0.773448
0.0,25,0.77403
1.0,80,0.77638
1.0,162,0.780554
0.0,10,0.780829
1.0,81,0.782843
0.0,14,0.783207
0.0,25,0.783898
0.0,91,0.786101
0.0,195,0.791391
0.0,78,0.793839
0.0,18,0.794493
1.0,48,0.795731
0.0,91,0.797694
0.0,145,0.800769
0.0,48,0.80223
1.0,45,0.803861
1.0,86,0.806549
0.0,78,0.808718
1.0,206,0.814149
0.0,108,0.816551
1.0,31,0.817264
0.0,16,0.81765
1.0,201,0.821955
0.0,148,0.825409
0.0,92,0.828054
0.0,237,0.832919
1.0,70,0.834376
0.0,33,0.835092
1.0,102,0.83725
0.0,7,0.837437
1.0,108,0.839879
0.0,8,0.840104
1.0,54,0.841263
1.0,52,0.842478
0.0,2,0.842593
1.0,220,0.847114
1.0,41,0.848275
0.0,50,0.849376
1.0,70,0.850858
1.0,232,0.855591
0.0,18,0.856023
0.0,38,0.85688
1.0,50,0.857945
0.0,62,0.860107
0.0,178,0.864258
0.0,13,0.864586
1.0,37,0.865384
1.0,214,0.869746
0.0,61,0.871095
1.0,97,0.873327
0.0,103,0.875522
1.0,40,0.876539
0.0,166,0.879983
0.0,53,0.881147
1.0,39,0.881988
0.0,32,0.882685
0.0,31,0.88336
0.0,96,0.885341
1.0,71,0.886841
1.0,60,0.888113
0.0,20,0.888566
1.0,113,0.891007
0.0,94,0.894002
0.0,12,0.894328
0.0,68,0.895766
1.0,38,0.896583
0.0,148,0.899654
1.0,96,0.901619
1.0,160,0.904864
0.0,10,0.905111
1.0,167,0.908806
0.0,11,0.90923
1.0,36,0.910018
0.0,61,0.911286
1.0,102,0.913405
1.0,96,0.915458
1.0,71,0.916952
0.0,42,0.917844
1.0,52,0.918943
1.0,57,0.920152
0.0,67,0.921557
1.0,111,0.923894
0.0,14,0.924229
0.0,34,0.925637
0.0,244,0.931073
1.0,56,0.932324
1.0,34,0.933062
0.0,66,0.934444
1.0,81,0.936142
0.0,28,0.936759
1.0,112,0.939066
1.0,51,0.94048
1.0,79,0.942209
0.0,98,0.944405
1.0,36,0.945208
0.0,32,0.945904
1.0,46,0.947098
0.0,174,0.95109
1.0,63,0.952437
0.0,42,0.953332
1.0,29,0.953966
0.0,17,0.954354
1.0,36,0.955126
1.0,36,0.955896
1.0,139,0.95994
0.0,14,0.960369
1.0,70,0.961865
1.0,33,0.962588
0.0,39,0.963441
0.0,20,0.963903
1.0,120,0.966597
0.0,39,0.96749
0.0,80,0.969203
0.0,14,0.969544
1.0,50,0.970633
0.0,19,0.971079
0.0,9,0.971307
1.0,46,0.972313
1.0,37,0.973373
1.0,27,0.973984
1.0,28,0.974596
0.0,152,0.977805
0.0,178,0.981619
1.0,435,0.990851
1.0,35,0.992113
1.0,30,0.993017
0.0,47,0.994061
0.0,6,0.994223
1.0,25,0.99477
0.0,21,0.995306
0.0,2,0.995383
1.0,29,0.996012
0.0,305,1.002269
0.0,2,1.002353
1.0,43,1.003268
1.0,36,1.004036
0.0,159,1.007521
0.0,11,1.00782
1.0,193,1.012908
1.0,29,1.013702
1.0,73,1.015557
1.0,35,1.016417
0.0,5,1.016594
0.0,25,1.017278
1.0,23,1.017915
1.0,57,1.019145
1.0,24,1.019934
0.0,15,1.020287
0.0,10,1.020527
0.0,192,1.025012
1.0,105,1.027949
0.0,55,1.029172
1.0,23,1.029718
1.0,47,1.030745
1.0,23,1.031281
0.0,73,1.032867
1.0,199,1.037083
0.0,33,1.037818
1.0,33,1.038565
1.0,79,1.040395
0.0,6,1.040583
1.0,25,1.041166
1.0,78,1.042884
0.0,25,1.043461
1.0,23,1.04402
0.0,205,1.048637
1.0,33,1.049427
0.0,12,1.049723
0.0,72,1.051244
1.0,148,1.054332
0.0,6,1.054499
0.0,4,1.054619
1.0,28,1.055235
0.0,17,1.055631
0.0,18,1.056044
0.0,30,1.056749
1.0,32,1.057454
1.0,32,1.058181
0.0,20,1.059192
0.0,10,1.059661
1.0,25,1.060484
1.0,40,1.061779
1.0,25,1.062347
1.0,23,1.062867
1.0,73,1.064407
1.0,178,1.068039
0.0,6,1.068207
1.0,25,1.068774
1.0,25,1.069329
1.0,26,1.069974
1.0,23,1.070483
1.0,29,1.071151
1.0,35,1.072012
1.0,70,1.073747
1.0,58,1.074993
1.0,23,1.075542
1.0,24,1.076169
0.0,9,1.076393
1.0,23,1.076913
1.0,31,1.077586
1.0,26,1.078158
1.0,29,1.078787
1.0,24,1.079323
1.0,28,1.079939
1.0,29,1.080578
1.0,25,1.081211
0.0,6,1.081371
1.0,23,1.081884
1.0,23,1.0824
1.0,27,1.082995
1.0,27,1.083592
1.0,23,1.084105
0.0,14,1.084431
0.0,12,1.084716
1.0,23,1.085227
1.0,25,1.085776
1.0,26,1.086348
0.0,103,1.088462
1.0,25,1.089016
1.0,23,1.089527
0.0,6,1.089685
1.0,27,1.090307
0.0,23,1.090813
1.0,27,1.091396
1.0,26,1.092651
1.0,23,1.093545
1.0,31,1.094682
1.0,27,1.095309
1.0,28,1.095921
1.0,23,1.096436
1.0,26,1.097013
1.0,25,1.097566
0.0,14,1.097885
0.0,216,1.102316
1.0,30,1.102977
0.0,20,1.103425
1.0,33,1.104165
0.0,8,1.104367
1.0,27,1.104957
1.0,23,1.105475
1.0,27,1.106199
1.0,23,1.106847
1.0,25,1.107411
1.0,31,1.108102
1.0,28,1.108723
1.0,24,1.109436
1.0,23,1.109962
1.0,83,1.111707
0.0,22,1.112196
1.0,24,1.112733
1.0,27,1.11333
1.0,23,1.113849
1.0,23,1.114489
1.0,25,1.115085
0.0,74,1.116645
1.0,128,1.119344
1.0,23,1.119865
1.0,33,1.12059
1.0,27,1.121187
1.0,27,1.121792
1.0,28,1.122413
1.0,23,1.12293
1.0,40,1.123821
1.0,26,1.124402
1.0,25,1.125425
1.0,25,1.126642
1.0,23,1.127193
1.0,28,1.127827
1.0,25,1.128389
1.0,26,1.12896
1.0,27,1.129582
1.0,25,1.130184
0.0,6,1.130344
0.0,4,1.130465
1.0,26,1.131046
0.0,25,1.131601
0.0,20,1.132056
1.0,23,1.132577
0.0,8,1.132782
1.0,25,1.133338
0.0,21,1.133809
1.0,25,1.134366
0.0,6,1.134527
1.0,25,1.135087
1.0,23,1.135608
1.0,30,1.136264
1.0,27,1.136855
1.0,30,1.137508
1.0,37,1.138301
0.0,19,1.138735
0.0,19,1.139167
1.0,28,1.139982
0.0,8,1.140199
0.0,18,1.14061
0.0,18,1.141026
1.0,23,1.141548
1.0,24,1.142092
0.0,19,1.142636
1.0,31,1.143315
1.0,23,1.143835
1.0,25,1.144397
1.0,26,1.144971
1.0,52,1.146089
0.0,12,1.146378
1.0,28,1.146995
0.0,12,1.147285
1.0,26,1.147985
1.0,39,1.148978
1.0,23,1.149503
1.0,26,1.150081
1.0,23,1.1506
1.0,25,1.151158
1.0,27,1.151752
1.0,227,1.156441
