episodes,steps,total reward
124,10000,9.0
206,20000,26.0
293,30000,25.0
397,40000,42.0
673,50000,208.0
1071,60000,324.0
1476,70000,320.0
1901,80000,330.0
2317,90000,344.0
2741,100000,339.0
