# {"t_start": 1662807935.750274, "env_id": "Office-single-v0"} 
r,l,t
0.0,69,0.002097
0.0,11,0.002405
0.0,9,0.002653
0.0,97,0.004845
0.0,15,0.005234
0.0,12,0.00555
0.0,22,0.006086
0.0,41,0.007038
0.0,26,0.007983
0.0,2,0.00809
0.0,77,0.010007
0.0,43,0.011024
0.0,24,0.011616
0.0,163,0.015326
0.0,7,0.015535
0.0,65,0.017291
0.0,36,0.018952
0.0,75,0.02158
0.0,33,0.022491
0.0,46,0.023819
0.0,35,0.0247
0.0,67,0.026323
0.0,53,0.031186
0.0,44,0.033008
0.0,50,0.03506
0.0,105,0.038206
0.0,28,0.039262
0.0,34,0.040556
0.0,69,0.042271
0.0,185,0.046903
0.0,34,0.047764
0.0,45,0.048857
0.0,42,0.050003
0.0,45,0.051251
0.0,41,0.052538
0.0,4,0.052696
0.0,75,0.054728
0.0,46,0.056075
0.0,59,0.057779
0.0,19,0.058353
0.0,61,0.060193
0.0,79,0.062354
0.0,123,0.065262
0.0,41,0.066526
0.0,59,0.068177
0.0,45,0.069352
0.0,39,0.070302
0.0,59,0.071767
0.0,30,0.07267
0.0,92,0.074881
0.0,43,0.07591
0.0,11,0.076206
0.0,22,0.076752
0.0,57,0.078099
0.0,35,0.078992
0.0,44,0.080048
0.0,86,0.082122
0.0,5,0.082287
0.0,190,0.088115
0.0,32,0.088953
0.0,48,0.090118
0.0,12,0.090448
0.0,69,0.092077
0.0,57,0.093815
0.0,29,0.094554
0.0,109,0.097176
0.0,58,0.098597
0.0,20,0.099332
0.0,4,0.099489
0.0,35,0.100383
0.0,42,0.101551
0.0,71,0.103244
0.0,157,0.106922
0.0,102,0.109442
0.0,102,0.111869
0.0,87,0.113959
1.0,120,0.116917
0.0,150,0.121077
0.0,48,0.122271
0.0,139,0.125503
0.0,287,0.132317
0.0,31,0.133203
0.0,69,0.134841
1.0,261,0.14096
0.0,45,0.142055
0.0,68,0.143663
0.0,18,0.144127
0.0,57,0.145475
0.0,374,0.155306
0.0,12,0.155671
0.0,22,0.156237
0.0,162,0.160092
0.0,167,0.164084
0.0,94,0.166594
0.0,210,0.171937
0.0,120,0.174902
1.0,457,0.187051
1.0,126,0.190059
0.0,9,0.190325
1.0,205,0.196127
0.0,34,0.197249
0.0,189,0.202812
0.0,6,0.203068
0.0,84,0.205215
0.0,21,0.206023
0.0,185,0.210429
1.0,267,0.216948
0.0,50,0.218489
0.0,84,0.220807
0.0,9,0.221075
0.0,30,0.221801
0.0,297,0.228507
0.0,168,0.233062
0.0,53,0.234337
0.0,8,0.234567
1.0,251,0.240327
0.0,2,0.24046
0.0,11,0.24077
1.0,200,0.245336
1.0,243,0.251372
0.0,171,0.256513
0.0,10,0.256825
0.0,113,0.259443
0.0,70,0.261079
0.0,140,0.264763
0.0,167,0.270258
1.0,120,0.273585
1.0,147,0.277064
0.0,41,0.278029
0.0,207,0.28315
0.0,107,0.286575
0.0,37,0.287524
0.0,18,0.288001
0.0,2,0.288091
0.0,134,0.29122
0.0,89,0.293468
0.0,253,0.300104
1.0,153,0.304352
0.0,45,0.305515
0.0,201,0.310419
1.0,109,0.312951
1.0,184,0.317231
0.0,127,0.321091
0.0,27,0.321844
0.0,13,0.322244
0.0,87,0.324523
0.0,125,0.327784
0.0,78,0.330038
1.0,237,0.335718
0.0,54,0.336977
0.0,103,0.339343
1.0,237,0.344789
0.0,162,0.348428
1.0,90,0.350547
0.0,81,0.353558
0.0,245,0.359359
0.0,9,0.359618
0.0,31,0.360366
0.0,48,0.361481
0.0,53,0.362701
0.0,58,0.36407
1.0,148,0.368164
0.0,39,0.369141
0.0,122,0.372013
0.0,109,0.374603
0.0,192,0.379165
0.0,132,0.382193
0.0,18,0.382809
0.0,56,0.384188
0.0,42,0.385819
1.0,205,0.390933
1.0,217,0.395932
0.0,7,0.396144
0.0,151,0.399822
0.0,60,0.401276
0.0,32,0.402047
1.0,97,0.404271
1.0,334,0.412168
1.0,381,0.422453
0.0,126,0.425384
0.0,29,0.426083
1.0,243,0.431553
0.0,50,0.43319
0.0,23,0.433856
0.0,201,0.43875
0.0,7,0.438962
1.0,196,0.443411
1.0,195,0.447762
0.0,18,0.448206
0.0,20,0.448691
1.0,291,0.456231
1.0,253,0.461987
1.0,170,0.466034
1.0,108,0.468566
0.0,23,0.469135
0.0,119,0.471863
1.0,169,0.475937
1.0,498,0.487921
0.0,33,0.48875
0.0,58,0.4901
1.0,219,0.495039
0.0,201,0.500025
0.0,61,0.501448
1.0,174,0.505354
1.0,169,0.50935
0.0,12,0.509688
0.0,152,0.513362
0.0,2,0.513454
0.0,35,0.514292
0.0,127,0.518028
0.0,94,0.520605
0.0,112,0.5232
0.0,125,0.526057
1.0,153,0.530033
0.0,39,0.530968
0.0,21,0.53148
0.0,28,0.53228
1.0,295,0.539065
1.0,121,0.541854
1.0,372,0.550464
0.0,104,0.553703
0.0,67,0.555322
1.0,345,0.56347
0.0,234,0.570179
1.0,184,0.575088
0.0,26,0.576162
1.0,380,0.586364
0.0,166,0.590304
0.0,110,0.592934
0.0,16,0.593354
1.0,90,0.59546
0.0,20,0.595984
0.0,24,0.596578
1.0,176,0.600835
1.0,269,0.606995
1.0,145,0.610396
