episodes,steps,total reward
110,10000,8.0
200,20000,26.0
286,30000,34.0
479,40000,104.0
795,50000,225.0
1130,60000,235.0
1472,70000,243.0
1817,80000,236.0
2155,90000,249.0
2511,100000,246.0
