# {"t_start": 1662807444.711432, "env_id": "Office-single-v1"} 
r,l,t
0.0,10,0.000639
0.0,19,0.001145
0.0,57,0.00243
0.0,18,0.002878
0.0,49,0.003996
0.0,6,0.00418
0.0,28,0.004827
0.0,32,0.00557
0.0,18,0.006003
0.0,17,0.006597
0.0,31,0.007382
0.0,22,0.008017
0.0,42,0.009259
0.0,120,0.011942
0.0,67,0.013959
0.0,73,0.015749
0.0,18,0.016252
0.0,12,0.016562
0.0,89,0.018764
0.0,82,0.020561
0.0,98,0.022685
0.0,7,0.02288
0.0,111,0.025285
0.0,50,0.026387
0.0,71,0.028166
0.0,31,0.028867
0.0,61,0.030184
0.0,30,0.03103
0.0,103,0.033274
0.0,85,0.035104
0.0,9,0.035373
0.0,71,0.037306
0.0,86,0.039183
0.0,128,0.042062
0.0,82,0.043852
0.0,110,0.046245
0.0,162,0.051529
0.0,226,0.058117
0.0,41,0.059651
0.0,9,0.060055
0.0,221,0.069976
0.0,76,0.07166
0.0,53,0.072827
0.0,141,0.07585
0.0,149,0.079149
0.0,15,0.079598
0.0,25,0.080849
0.0,12,0.081489
0.0,249,0.087125
0.0,29,0.087816
0.0,83,0.089594
0.0,161,0.093062
0.0,237,0.098473
0.0,22,0.099022
0.0,160,0.102465
0.0,229,0.107376
0.0,28,0.10803
0.0,27,0.108651
0.0,218,0.113617
0.0,35,0.115059
0.0,8,0.115331
0.0,232,0.120283
0.0,142,0.123381
1.0,113,0.125875
0.0,32,0.126623
0.0,32,0.12734
0.0,64,0.128983
1.0,216,0.133938
0.0,71,0.135532
0.0,163,0.139046
0.0,166,0.142651
0.0,48,0.143716
0.0,218,0.149563
0.0,52,0.150769
0.0,17,0.151189
0.0,51,0.152317
0.0,248,0.157644
0.0,81,0.159434
0.0,57,0.160679
0.0,12,0.161268
0.0,66,0.162748
0.0,65,0.164292
0.0,9,0.164537
0.0,254,0.17
0.0,95,0.172093
0.0,206,0.176597
1.0,204,0.18229
0.0,88,0.184249
0.0,53,0.185432
0.0,132,0.188265
0.0,14,0.188612
1.0,168,0.192238
0.0,41,0.193165
0.0,50,0.194542
0.0,103,0.196832
0.0,29,0.197592
0.0,10,0.197857
1.0,296,0.204405
0.0,76,0.206172
0.0,305,0.212867
0.0,64,0.215469
0.0,29,0.21617
1.0,230,0.222072
0.0,81,0.224221
0.0,8,0.224491
0.0,128,0.228617
0.0,50,0.230083
0.0,16,0.230546
1.0,171,0.234271
1.0,244,0.239801
0.0,152,0.243582
0.0,138,0.247111
0.0,64,0.249183
0.0,203,0.253597
1.0,102,0.255813
0.0,83,0.257571
0.0,90,0.259542
0.0,7,0.259732
0.0,19,0.260168
0.0,186,0.264474
0.0,66,0.265902
0.0,12,0.266202
1.0,215,0.270852
0.0,82,0.272607
0.0,21,0.273091
0.0,180,0.276867
1.0,164,0.281244
1.0,254,0.287213
0.0,88,0.289334
0.0,144,0.292661
1.0,288,0.299623
0.0,31,0.300584
1.0,289,0.307703
0.0,41,0.308641
0.0,31,0.309334
0.0,126,0.312279
0.0,58,0.313906
0.0,124,0.316975
0.0,29,0.317657
1.0,84,0.319501
1.0,206,0.3239
0.0,228,0.329108
0.0,36,0.329934
0.0,150,0.333187
0.0,176,0.33702
0.0,118,0.33951
1.0,159,0.34281
0.0,63,0.344159
1.0,127,0.347662
0.0,2,0.347901
1.0,194,0.352627
0.0,190,0.3566
1.0,215,0.361397
0.0,16,0.361801
0.0,162,0.365339
0.0,46,0.366322
0.0,32,0.367027
0.0,185,0.370867
0.0,200,0.374995
1.0,194,0.379091
0.0,80,0.381779
0.0,56,0.383509
0.0,17,0.383931
0.0,73,0.385496
0.0,17,0.385898
1.0,167,0.389398
1.0,144,0.392588
1.0,215,0.397483
1.0,142,0.400496
1.0,139,0.40348
0.0,41,0.404361
1.0,127,0.407013
0.0,209,0.411468
0.0,166,0.416075
0.0,29,0.416768
0.0,200,0.420972
0.0,47,0.421976
1.0,168,0.425462
1.0,145,0.428712
0.0,27,0.429342
0.0,28,0.429972
1.0,173,0.433773
0.0,157,0.43713
0.0,57,0.438351
1.0,241,0.443357
0.0,132,0.446564
1.0,129,0.449996
0.0,44,0.450973
1.0,194,0.454967
0.0,24,0.45551
1.0,90,0.457403
0.0,34,0.458151
