episodes,steps,total reward
111,10000,8.0
213,20000,28.0
302,30000,39.0
477,40000,100.0
796,50000,221.0
1137,60000,244.0
1484,70000,241.0
1835,80000,241.0
2185,90000,236.0
2537,100000,247.0
