episodes,steps,total reward
107,10000,7.0
209,20000,26.0
308,30000,41.0
470,40000,83.0
775,50000,216.0
1111,60000,238.0
1461,70000,239.0
1812,80000,240.0
2162,90000,244.0
2514,100000,241.0
