# {"t_start": 1662807512.41478, "env_id": "Office-single-v0"} 
r,l,t
0.0,10,0.0007
0.0,4,0.000855
0.0,103,0.003071
0.0,6,0.003247
0.0,17,0.003655
0.0,8,0.003869
0.0,63,0.005237
0.0,28,0.005871
0.0,20,0.006323
0.0,42,0.007539
0.0,46,0.00869
0.0,33,0.00999
0.0,40,0.011177
0.0,63,0.012541
0.0,28,0.013178
0.0,85,0.015096
0.0,55,0.016329
0.0,98,0.018475
0.0,8,0.018694
0.0,89,0.020689
0.0,33,0.021478
0.0,101,0.023954
0.0,13,0.024297
0.0,32,0.025018
0.0,30,0.02569
0.0,28,0.026318
0.0,86,0.028274
0.0,48,0.029329
0.0,127,0.032256
0.0,17,0.032693
0.0,31,0.033394
0.0,16,0.033784
0.0,115,0.036296
0.0,56,0.037552
0.0,90,0.039477
0.0,8,0.039696
0.0,66,0.041386
0.0,107,0.044577
0.0,65,0.046052
0.0,29,0.046715
0.0,59,0.048004
0.0,124,0.050659
0.0,76,0.052565
0.0,110,0.054939
0.0,13,0.055259
0.0,109,0.057932
0.0,2,0.058041
0.0,52,0.059369
0.0,42,0.061568
0.0,78,0.064716
0.0,103,0.06831
0.0,134,0.072235
0.0,30,0.073672
0.0,2,0.073834
0.0,168,0.080568
0.0,43,0.082322
0.0,66,0.083925
0.0,33,0.084702
0.0,54,0.085949
0.0,103,0.088425
0.0,146,0.092238
0.0,114,0.095251
0.0,23,0.095928
1.0,143,0.099432
0.0,19,0.099915
0.0,12,0.100223
0.0,53,0.101408
0.0,71,0.103106
0.0,59,0.104436
0.0,122,0.107462
0.0,130,0.111401
0.0,4,0.111699
0.0,101,0.113942
1.0,220,0.118694
0.0,14,0.119057
0.0,194,0.12371
0.0,110,0.126096
0.0,117,0.128669
0.0,79,0.130454
0.0,5,0.130607
0.0,2,0.130688
0.0,59,0.132044
0.0,15,0.132419
0.0,8,0.132636
0.0,354,0.140247
0.0,80,0.142124
0.0,25,0.143458
0.0,83,0.14534
1.0,286,0.151696
0.0,62,0.153231
0.0,230,0.158558
1.0,172,0.162668
0.0,161,0.166346
0.0,17,0.166793
0.0,60,0.168151
0.0,185,0.172354
1.0,105,0.174816
0.0,147,0.179101
0.0,269,0.184982
0.0,109,0.18741
0.0,29,0.188084
0.0,6,0.188259
0.0,86,0.190411
0.0,79,0.192204
0.0,91,0.194409
0.0,26,0.195028
1.0,542,0.207074
0.0,102,0.210414
0.0,245,0.215851
0.0,82,0.217736
0.0,100,0.219932
0.0,111,0.222427
1.0,218,0.227799
1.0,191,0.232072
1.0,322,0.240281
0.0,23,0.240952
0.0,98,0.24454
0.0,108,0.247025
1.0,196,0.251709
0.0,202,0.256217
0.0,19,0.256762
0.0,217,0.2619
1.0,167,0.265774
1.0,248,0.271187
1.0,182,0.275232
0.0,2,0.2754
1.0,106,0.278418
0.0,45,0.279436
0.0,204,0.283894
1.0,196,0.288197
0.0,5,0.288381
0.0,135,0.291537
0.0,21,0.292062
0.0,9,0.292302
0.0,72,0.294191
0.0,191,0.298206
1.0,254,0.30368
0.0,31,0.304377
0.0,270,0.311103
1.0,126,0.314756
0.0,49,0.316102
0.0,13,0.316516
0.0,17,0.316957
0.0,22,0.317517
0.0,38,0.31856
0.0,76,0.320328
0.0,66,0.322051
0.0,170,0.326002
0.0,135,0.329063
0.0,90,0.331079
0.0,122,0.333808
0.0,106,0.336087
0.0,127,0.338807
0.0,49,0.339889
0.0,63,0.341357
0.0,43,0.342998
1.0,179,0.347582
0.0,61,0.348922
0.0,29,0.349573
0.0,220,0.35439
1.0,97,0.356527
0.0,82,0.358521
1.0,181,0.362648
0.0,35,0.363442
1.0,241,0.368611
0.0,85,0.37045
1.0,216,0.375146
0.0,72,0.3778
0.0,59,0.379138
0.0,219,0.38383
0.0,16,0.384217
0.0,48,0.385276
0.0,220,0.390289
0.0,110,0.392673
0.0,55,0.39401
1.0,172,0.397629
0.0,64,0.39903
0.0,18,0.399444
0.0,95,0.40145
1.0,176,0.405151
0.0,14,0.405491
0.0,40,0.406368
0.0,30,0.407031
0.0,74,0.408728
0.0,5,0.408968
0.0,196,0.414503
1.0,223,0.419264
1.0,160,0.42268
0.0,57,0.424199
1.0,73,0.425786
0.0,74,0.427526
0.0,37,0.428341
0.0,48,0.429382
0.0,24,0.42992
0.0,156,0.433274
0.0,41,0.434182
1.0,159,0.43754
1.0,199,0.441899
0.0,126,0.445572
0.0,41,0.446507
1.0,213,0.450954
1.0,188,0.454955
0.0,17,0.455356
1.0,186,0.459518
0.0,18,0.45996
0.0,77,0.461801
0.0,21,0.462293
0.0,17,0.462697
1.0,82,0.464459
1.0,166,0.468052
0.0,11,0.468344
0.0,114,0.470777
1.0,222,0.475907
0.0,159,0.480401
0.0,256,0.485917
0.0,77,0.487577
0.0,52,0.488727
1.0,289,0.495192
1.0,115,0.497654
1.0,317,0.504497
1.0,212,0.509523
1.0,302,0.516579
