episodes,steps,total reward
118,10000,9.0
213,20000,26.0
283,30000,30.0
397,40000,42.0
685,50000,196.0
1060,60000,313.0
1465,70000,316.0
1872,80000,336.0
2292,90000,351.0
2721,100000,339.0
