episodes,steps,total reward
116,10000,8.0
217,20000,26.0
324,30000,37.0
485,40000,92.0
802,50000,208.0
1137,60000,243.0
1482,70000,245.0
1826,80000,243.0
2180,90000,245.0
2533,100000,232.0
