episodes,steps,total reward
117,10000,11.0
197,20000,23.0
277,30000,29.0
391,40000,45.0
676,50000,214.0
1066,60000,295.0
1488,70000,343.0
1906,80000,331.0
2326,90000,343.0
2756,100000,342.0
