# {"t_start": 1662808102.712904, "env_id": "Office-single-v0"} 
r,l,t
0.0,8,0.000724
0.0,30,0.001552
0.0,57,0.002893
0.0,4,0.003032
0.0,13,0.003364
0.0,42,0.004346
0.0,17,0.004777
0.0,39,0.005707
0.0,63,0.007115
0.0,22,0.007802
0.0,27,0.008631
0.0,55,0.010196
0.0,132,0.013221
0.0,29,0.01392
0.0,8,0.01415
0.0,48,0.015409
0.0,15,0.015804
0.0,56,0.017104
0.0,46,0.018265
0.0,22,0.018811
0.0,52,0.020812
0.0,31,0.021584
0.0,35,0.022402
0.0,82,0.024253
0.0,17,0.024683
0.0,79,0.026475
0.0,39,0.027398
0.0,63,0.028845
0.0,4,0.028979
0.0,25,0.029735
0.0,44,0.030862
0.0,30,0.031594
0.0,35,0.032422
0.0,105,0.03511
0.0,56,0.036429
0.0,65,0.037889
0.0,26,0.038523
0.0,44,0.039731
0.0,33,0.040527
0.0,31,0.041257
0.0,61,0.042715
0.0,69,0.044246
0.0,70,0.045799
0.0,48,0.046878
0.0,9,0.047124
0.0,75,0.048785
0.0,153,0.052285
0.0,14,0.052653
0.0,60,0.054683
0.0,82,0.057421
0.0,177,0.064095
0.0,57,0.065802
0.0,49,0.067005
0.0,37,0.068259
0.0,75,0.07115
0.0,7,0.071489
0.0,88,0.074951
0.0,10,0.0754
0.0,73,0.078149
0.0,37,0.079045
0.0,14,0.079411
0.0,46,0.080485
0.0,81,0.082377
0.0,140,0.085684
0.0,38,0.087139
0.0,6,0.087478
0.0,118,0.090581
0.0,67,0.092147
0.0,16,0.092561
0.0,108,0.095036
0.0,58,0.096506
0.0,32,0.097289
0.0,519,0.109292
0.0,87,0.11137
0.0,72,0.113053
0.0,11,0.113351
0.0,12,0.113666
0.0,61,0.115075
0.0,176,0.119205
0.0,233,0.125115
0.0,91,0.127228
0.0,201,0.131865
1.0,216,0.137028
1.0,190,0.141752
0.0,13,0.142151
1.0,185,0.146339
0.0,21,0.146868
1.0,281,0.153849
0.0,96,0.156656
1.0,147,0.160134
1.0,276,0.166383
1.0,219,0.171519
0.0,30,0.172271
0.0,114,0.174863
0.0,194,0.179389
0.0,32,0.180159
1.0,364,0.189329
0.0,362,0.197496
0.0,163,0.201339
0.0,50,0.202531
0.0,53,0.203875
0.0,25,0.204482
0.0,119,0.207229
1.0,154,0.21074
1.0,209,0.215432
0.0,7,0.215676
0.0,31,0.216408
0.0,2,0.216499
0.0,132,0.219816
0.0,282,0.227008
0.0,15,0.227425
0.0,212,0.232921
0.0,9,0.233281
0.0,269,0.240512
0.0,29,0.241257
0.0,35,0.2421
1.0,290,0.249291
1.0,243,0.25605
1.0,143,0.259336
0.0,172,0.263199
0.0,108,0.265698
0.0,104,0.268344
0.0,12,0.268673
0.0,83,0.270495
0.0,36,0.271331
1.0,224,0.276323
0.0,202,0.280747
0.0,55,0.281982
0.0,5,0.282134
0.0,270,0.289208
1.0,272,0.2955
0.0,33,0.296559
0.0,11,0.296878
0.0,40,0.297799
0.0,4,0.297929
0.0,65,0.299388
1.0,121,0.302386
0.0,80,0.304767
0.0,33,0.305679
0.0,134,0.309552
1.0,150,0.313589
0.0,256,0.320035
0.0,20,0.320702
1.0,190,0.325375
0.0,133,0.328426
1.0,124,0.331241
1.0,137,0.3346
0.0,94,0.336758
1.0,175,0.340788
0.0,154,0.344437
0.0,54,0.345663
1.0,240,0.35087
0.0,215,0.356929
0.0,18,0.35742
0.0,36,0.358255
0.0,113,0.360761
0.0,178,0.364686
0.0,127,0.367762
0.0,14,0.36813
0.0,199,0.372482
0.0,60,0.373823
0.0,76,0.375526
0.0,16,0.375921
0.0,64,0.37734
0.0,74,0.378971
0.0,28,0.379607
1.0,196,0.383873
0.0,4,0.384014
1.0,231,0.390485
0.0,38,0.391391
0.0,14,0.391743
0.0,107,0.394129
0.0,59,0.395431
1.0,126,0.398207
1.0,261,0.404243
1.0,310,0.411241
0.0,155,0.414646
0.0,70,0.41622
1.0,401,0.425953
1.0,156,0.429493
1.0,102,0.431768
0.0,135,0.435041
0.0,130,0.437926
1.0,210,0.44257
0.0,98,0.444744
1.0,192,0.448878
0.0,30,0.449571
1.0,218,0.455903
1.0,401,0.465225
0.0,13,0.465607
0.0,200,0.470266
0.0,100,0.472469
0.0,103,0.474715
0.0,219,0.47953
0.0,140,0.4826
0.0,181,0.487554
0.0,41,0.488593
1.0,475,0.499066
1.0,247,0.504737
0.0,51,0.5059
0.0,18,0.506345
1.0,125,0.509269
0.0,13,0.509602
1.0,317,0.516423
0.0,10,0.516697
0.0,105,0.51925
1.0,225,0.524875
0.0,41,0.525885
0.0,73,0.527734
1.0,157,0.531314
1.0,156,0.535062
1.0,266,0.541374
0.0,74,0.54308
0.0,220,0.547931
0.0,164,0.551591
0.0,51,0.552806
0.0,218,0.559245
1.0,157,0.563348
0.0,29,0.564157
0.0,113,0.566877
0.0,260,0.572848
0.0,85,0.574833
0.0,4,0.574969
0.0,22,0.575505
0.0,162,0.5791
0.0,56,0.580353
1.0,255,0.586326
1.0,145,0.590823
