episodes,steps,total reward
115,10000,12.0
204,20000,20.0
285,30000,31.0
396,40000,38.0
654,50000,195.0
1035,60000,308.0
1434,70000,316.0
1859,80000,328.0
2271,90000,348.0
2697,100000,341.0
