episodes,steps,total reward
111,10000,10.0
187,20000,23.0
282,30000,28.0
402,40000,49.0
680,50000,193.0
1056,60000,303.0
1459,70000,316.0
1882,80000,320.0
2289,90000,323.0
2716,100000,346.0
