episodes,steps,total reward
115,10000,7.0
200,20000,25.0
294,30000,43.0
459,40000,100.0
787,50000,226.0
1128,60000,236.0
1476,70000,246.0
1816,80000,244.0
2158,90000,250.0
2512,100000,241.0
