episodes,steps,total reward
111,10000,8.0
210,20000,25.0
301,30000,41.0
471,40000,97.0
782,50000,225.0
1122,60000,229.0
1455,70000,241.0
1805,80000,249.0
2163,90000,240.0
2523,100000,240.0
