episodes,steps,total reward
127,10000,12.0
218,20000,19.0
302,30000,28.0
415,40000,47.0
702,50000,217.0
1105,60000,313.0
1476,70000,297.0
1887,80000,331.0
2304,90000,326.0
2727,100000,346.0
