episodes,steps,total reward
110,10000,5.0
219,20000,26.0
316,30000,41.0
467,40000,98.0
782,50000,223.0
1117,60000,237.0
1458,70000,252.0
1818,80000,239.0
2166,90000,244.0
2513,100000,243.0
