# {"t_start": 1662807655.7558389, "env_id": "Office-single-v1"} 
r,l,t
0.0,7,0.000872
0.0,14,0.001293
0.0,88,0.003198
0.0,52,0.004339
0.0,7,0.004535
0.0,10,0.004793
0.0,24,0.00535
0.0,5,0.0055
0.0,39,0.006365
0.0,16,0.006747
0.0,28,0.007619
0.0,35,0.008447
0.0,20,0.00893
0.0,82,0.010756
0.0,84,0.012585
0.0,24,0.013154
0.0,91,0.015338
0.0,39,0.01624
0.0,76,0.018263
0.0,100,0.021268
0.0,35,0.0222
0.0,59,0.02367
0.0,76,0.025396
0.0,13,0.025745
0.0,109,0.029202
0.0,38,0.030643
0.0,68,0.036373
0.0,36,0.037956
0.0,77,0.039845
0.0,26,0.040491
0.0,161,0.044169
0.0,76,0.045883
0.0,58,0.047338
0.0,81,0.049259
0.0,5,0.049492
0.0,49,0.050944
0.0,106,0.053596
0.0,100,0.056227
0.0,52,0.057603
0.0,32,0.058537
0.0,75,0.060557
0.0,92,0.062568
0.0,11,0.062849
0.0,46,0.063997
0.0,87,0.066326
0.0,20,0.066896
0.0,300,0.073762
0.0,64,0.07521
0.0,117,0.077698
0.0,298,0.084423
0.0,97,0.086525
0.0,103,0.089262
0.0,6,0.089473
0.0,169,0.093382
0.0,35,0.094186
0.0,70,0.095727
0.0,50,0.096817
0.0,154,0.101722
1.0,246,0.107645
0.0,24,0.108247
0.0,126,0.111007
0.0,13,0.111475
0.0,256,0.117471
0.0,257,0.123038
0.0,28,0.123697
0.0,230,0.128595
0.0,97,0.130697
0.0,37,0.131573
0.0,94,0.134579
0.0,219,0.139281
0.0,243,0.144463
0.0,15,0.144841
0.0,30,0.145523
0.0,226,0.150749
0.0,123,0.153526
0.0,85,0.155414
0.0,26,0.15602
0.0,160,0.159467
0.0,15,0.159843
0.0,29,0.160525
0.0,150,0.163717
0.0,98,0.166534
1.0,194,0.171153
0.0,170,0.174843
0.0,22,0.175361
0.0,261,0.181403
0.0,108,0.183763
0.0,69,0.185463
0.0,72,0.187048
0.0,7,0.187249
0.0,34,0.188014
1.0,163,0.19154
0.0,101,0.194046
0.0,133,0.197656
0.0,33,0.198567
0.0,152,0.20275
1.0,237,0.208149
1.0,181,0.212218
0.0,268,0.218497
0.0,94,0.220681
0.0,59,0.22229
0.0,24,0.222844
0.0,24,0.223385
0.0,15,0.22377
0.0,99,0.225884
0.0,9,0.226117
0.0,21,0.226589
0.0,207,0.230979
0.0,10,0.231245
0.0,217,0.236476
0.0,326,0.243643
1.0,171,0.247687
1.0,144,0.25103
0.0,20,0.251562
0.0,33,0.252702
1.0,158,0.256177
0.0,6,0.256361
0.0,35,0.257139
0.0,25,0.257694
1.0,214,0.262247
0.0,113,0.264709
0.0,23,0.265247
0.0,44,0.266259
1.0,173,0.271103
0.0,69,0.272899
