episodes,steps,total reward
117,10000,7.0
205,20000,29.0
300,30000,37.0
483,40000,95.0
796,50000,234.0
1142,60000,239.0
1482,70000,241.0
1826,80000,241.0
2172,90000,239.0
2529,100000,239.0
