episodes,steps,total reward
120,10000,12.0
201,20000,20.0
292,30000,27.0
408,40000,52.0
680,50000,179.0
1064,60000,288.0
1491,70000,335.0
1913,80000,349.0
2340,90000,350.0
2751,100000,333.0
