episodes,steps,total reward
122,10000,9.0
205,20000,23.0
283,30000,29.0
399,40000,48.0
682,50000,204.0
1082,60000,315.0
1484,70000,313.0
1874,80000,324.0
2290,90000,339.0
2725,100000,340.0
