episodes,steps,total reward
118,10000,10.0
203,20000,24.0
298,30000,31.0
400,40000,47.0
690,50000,214.0
1043,60000,277.0
1442,70000,315.0
1865,80000,338.0
2292,90000,344.0
2712,100000,328.0
