episodes,steps,total reward
126,10000,10.0
209,20000,22.0
300,30000,29.0
390,40000,45.0
653,50000,182.0
1032,60000,308.0
1434,70000,326.0
1852,80000,335.0
2281,90000,341.0
2706,100000,352.0
