episodes,steps,total reward
110,10000,10.0
200,20000,23.0
284,30000,31.0
392,40000,46.0
671,50000,202.0
1071,60000,317.0
1474,70000,324.0
1895,80000,321.0
2323,90000,323.0
2750,100000,344.0
