episodes,steps,total reward
126,10000,9.0
215,20000,23.0
292,30000,33.0
404,40000,44.0
676,50000,179.0
1067,60000,310.0
1456,70000,294.0
1876,80000,329.0
2295,90000,326.0
2720,100000,339.0
