episodes,steps,total reward
130,10000,10.0
221,20000,22.0
316,30000,27.0
416,40000,46.0
689,50000,202.0
1057,60000,293.0
1458,70000,316.0
1869,80000,332.0
2290,90000,335.0
2720,100000,352.0
