episodes,steps,total reward
111,10000,8.0
218,20000,25.0
306,30000,40.0
479,40000,94.0
799,50000,222.0
1139,60000,242.0
1475,70000,244.0
1808,80000,250.0
2167,90000,238.0
2526,100000,240.0
